distribution,param_target_mean,param_mu_ln,param_sigma_ln,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"LogNormal(E≈14.0,σ_ln=0.50)",14.0,2.5140573296152584,0.5,14.143226431181297,7.198058859956645,22.1,18.796689992791013,59.10331000720898,0.8008,378647.2864656709
"LogNormal(E≈15.0,σ_ln=0.06)",15.014084507042254,2.7074017409754885,0.056338028169014086,15.01588557757229,0.8234662706689366,17.2,19.77476889394356,63.02523110605644,0.896,469691.59303949674
"LogNormal(E≈15.0,σ_ln=0.08)",15.014084507042254,2.7061497572421023,0.07535211267605635,15.00068417892645,1.1450624906261988,18.0,19.615720053005038,62.384279946994965,0.896,463103.3193391672
"LogNormal(E≈15.0,σ_ln=0.09)",15.014084507042254,2.7051142484144886,0.08802816901408451,15.004513319869432,1.3266566284515549,18.1,19.595821817120893,62.304178182879106,0.8896000000000001,458621.8126523226
"LogNormal(E≈15.0,σ_ln=0.11)",15.014084507042254,2.703259705665034,0.10704225352112676,14.976725890685978,1.607466556838115,18.8,19.45642669457551,61.74357330542449,0.8912,453818.270807671
"LogNormal(E≈15.0,σ_ln=0.12)",15.014084507042254,2.701822490826708,0.11971830985915494,15.045780112492851,1.755561917897834,19.4,19.33679437979335,61.263205620206655,0.892,449374.98242084053
"LogNormal(E≈15.0,σ_ln=0.14)",15.014084507042254,2.6993653890611857,0.1387323943661972,14.9317812265321,2.0233881857084413,19.9,19.236993463649668,60.86300653635033,0.888,443081.5671527006
"LogNormal(E≈15.0,σ_ln=0.15)",15.014084507042254,2.6975264682121476,0.15140845070422537,14.965191360750971,2.2116819436443613,20.1,19.197045592728024,60.70295440727198,0.8872,441019.04110156844
"LogNormal(E≈15.0,σ_ln=0.17)",15.014084507042254,2.694466807430557,0.1704225352112676,15.016558164223946,2.4973680179299236,20.3,19.157081930395208,60.542918069604795,0.8832,437195.2970888555
"LogNormal(E≈15.0,σ_ln=0.18)",15.014084507042254,2.6922261805708065,0.1830985915492958,14.780324017561371,2.7036517463662464,20.7,19.077107030785754,60.22289296921424,0.8832,433978.5830905689
"LogNormal(E≈15.0,σ_ln=0.20)",15.014084507042254,2.689824871306772,0.19577464788732396,15.064384872121831,2.9934168390161573,20.8,19.05710335761341,60.14289664238659,0.872,427047.8509730636
"LogNormal(E≈15.0,σ_ln=0.21)",15.014084507042254,2.6859216279026854,0.2147887323943662,15.105217868987442,3.2884077390431243,21.1,18.99706836052232,59.90293163947768,0.8672,422056.60819678067
"LogNormal(E≈15.0,σ_ln=0.23)",15.014084507042254,2.683118612627938,0.2274647887323944,15.10897512531869,3.5972366966846585,21.6,18.89692972173931,59.50307027826069,0.8592,413801.27933732327
