speed_pct,research_pct,scale_pct,research_value,scale_value,gross_research_times_scale,pnl_mult_0.1,pnl_mult_0.2,pnl_mult_0.3,pnl_mult_0.4,pnl_mult_0.5,pnl_mult_0.6,pnl_mult_0.7,pnl_mult_0.8,pnl_mult_0.9
6.5,21.87991788921562,71.62008211078438,135652.34391276748,5.0134057477549065,680080.2406686938,18008.024066869388,86016.04813373878,154024.07220060812,222032.09626747755,290040.1203343469,358048.14440121624,426056.16846808564,494064.1925349551,562072.2166018244
6.6,21.86042407895938,71.53957592104062,135615.40583438738,5.007770314472843,679130.8035226323,17913.080352263234,85826.16070452647,153739.2410567897,221652.32140905294,289565.40176131617,357478.4821135794,425391.5624658426,493304.6428181059,561217.7231703692
6.7,21.840927027439907,71.4590729725601,135578.4300946855,5.002135108079207,678181.6250748888,17818.162507488887,85636.32501497777,153454.48752246663,221272.65002995555,289090.8125374444,356908.97504493326,424727.1375524221,492545.3000599111,560363.4625674
6.8,21.82142673027106,71.37857326972895,135541.41661576065,4.996500128881027,677232.7055893651,17723.270558936507,85446.54111787301,153169.81167680954,220893.08223574603,288616.35279468255,356339.62335361907,424062.89391255553,491786.16447149205,559509.4350304286
6.9,21.801923183055994,71.298076816944,135504.3653194683,4.99086537718608,676284.0453305086,17628.404533050867,85256.80906610173,152885.21359915257,220513.61813220347,288142.0226652543,355770.42719830514,423398.831731356,491027.23626440694,558655.6407974578
7.0,21.782416381387144,71.21758361861285,135467.27612741964,4.9852308533029,675335.6445633158,17533.564456331587,85067.12891266317,152600.69336899472,220134.25782532635,287667.8222816579,355201.38673798944,422734.95119432104,490268.5156506527,557802.0801069842
7.1,21.762906320846177,71.13709367915382,135430.14896098047,4.979596557540767,674387.5035533317,17438.750355333177,84877.50071066635,152316.2510659995,219755.0014213327,287193.75177666586,354632.502131999,422071.25248733215,489510.0028426654,556948.7531979985
7.2,21.743392997003955,71.05660700299605,135392.9837412702,4.973962490209724,673439.622566653,17343.962256665298,84687.9245133306,152031.88676999588,219375.8490266612,286719.8112833265,354063.77353999176,421407.73579665704,488751.6980533224,556095.6603099877
7.3,21.72387640542049,70.9761235945795,135355.78038916094,4.968328651620565,672492.0018699293,17249.200186992923,84498.40037398585,151747.60056097878,218996.8007479717,286246.0009349646,353495.20112195757,420744.40130895044,487993.6014959434,555242.8016829364
7.4,21.70435654164493,70.89564345835507,135318.53882527628,4.962695042084855,671544.6417303656,17154.464173036555,84308.92834607311,151463.39251910968,218617.85669214622,285772.3208651828,352926.78503821936,420081.24921125587,487235.71338429244,554390.1775573291
7.5,21.684833401215485,70.81516659878451,135281.2589699903,4.957061661914916,670597.5424157223,17059.754241572227,84119.50848314445,151179.26272471668,218239.0169662889,285298.77120786114,352358.52544943336,419418.27969100553,486478.0339325778,553537.78817415
7.6,21.66530697965942,70.73469302034059,135243.94074342656,4.951428511423841,669650.7041943187,16965.070419431882,83930.14083886376,150895.2112582956,217860.28167772753,284825.35209715937,351790.4225165912,418755.4929360231,485720.56335545506,552685.6337748868
7.7,21.645777272492985,70.65422272750702,135206.58406545702,4.945795590925491,668704.1273350341,16870.412733503414,83740.82546700683,150611.2382005102,217481.65093401365,284352.06366751704,351222.4764010204,418092.8891345238,484963.3018680273,551833.7146015307
7.8,21.626244275221424,70.57375572477858,135169.1888557011,4.9401629007345,667757.8121073098,16775.781210730987,83551.56242146197,150327.34363219293,217103.12484292395,283878.9060536549,350654.68726438587,417430.4684751168,484206.2496858479,550982.0308965788
7.9,21.60670798333887,70.49329201666112,135131.75503352424,4.934530441166277,666811.7587811498,16681.175878114984,83362.35175622997,150043.5276343449,216724.70351245994,283405.8793905749,350087.0552686898,416768.2311468048,483449.40702491987,550130.5829030348
8.0,21.587168392328376,70.41283160767162,135094.2825180374,4.928898212537014,665865.9676271249,16586.596762712492,83173.19352542498,149759.79028813745,216346.38705084997,282932.98381356243,349519.5805762749,416106.17733898736,482692.77410169994,549279.3708644124
8.1,21.567625497661812,70.3323745023382,135056.77122809537,4.9232662151636735,664920.4389163712,16492.04389163712,82984.08778327424,149476.13167491136,215968.17556654848,282460.2194581856,348952.2633498227,415444.3072414598,481936.35113309696,548428.3950247341
8.2,21.548079294799873,70.25192070520012,135019.2210822962,4.917634449364009,663975.172920595,16397.517292059507,82795.03458411901,149192.5518761785,215590.06916823803,281987.5864602975,348385.103752357,414782.6210444165,481180.13833647605,547577.6556285355
8.3,21.528529779192013,70.17147022080799,134981.6319989798,4.91200291545656,663030.1699120733,16303.016991207332,82606.03398241466,148909.05097362198,215212.06796482933,281515.08495603665,347818.10194724397,414121.1189384513,480424.13592965866,546727.152920866
8.4,21.508976946276405,70.09102305372359,134944.00389622696,4.906371613760651,662085.4301636547,16208.543016365482,82417.08603273096,148625.6290490964,214834.17206546193,281042.71508182737,347251.2580981928,413459.8011145583,479668.34413092386,545876.8871472892
8.5,21.489420791479926,70.01057920852007,134906.3366918582,4.900740544596405,661140.9539487631,16114.095394876305,82228.19078975261,148342.28618462893,214456.38157950522,280570.47697438154,346684.57236925786,412798.6677641341,478912.76315901044,545026.8585538868
8.6,21.469861310218086,69.93013868978193,134868.6303034327,4.895109708284735,660196.7415413981,16019.674154139808,82039.34830827962,148059.02246241944,214078.69661655923,280098.37077069905,346118.0449248389,412137.71907897864,478157.39323311846,544177.0673872583
8.7,21.450298497895,69.84970150210499,134830.88464824724,4.889479105147349,659252.7932161374,15925.27932161375,81850.5586432275,147775.83796484122,213701.117286455,279626.3966080687,345551.67592968245,411476.95525129617,477402.23457291,543327.5138945237
8.8,21.430732349903348,69.76926765009665,134793.09964333492,4.883848735506765,658309.1092481386,15830.91092481387,81661.82184962774,147492.73277444157,213323.64369925548,279154.5546240693,344985.46554888313,410816.376473697,476647.28739851096,542478.1983233248
8.9,21.411162861624334,69.68883713837566,134755.2752054642,4.878218599686296,657365.689913141,15736.568991314096,81473.13798262819,147209.7069739423,212946.27596525638,278682.8449565705,344419.4139478846,410155.9829391986,475892.55193051277,541629.1209218269
9.0,21.391590028427647,69.60840997157236,134717.41125113764,4.872588698010065,656422.5354874673,15642.25354874674,81284.50709749348,146926.76064624017,212569.01419498696,278211.26774373365,343853.52129248035,409495.7748412271,475138.0283899739,540780.2819387206
9.1,21.37201384567141,69.5279861543286,134679.50769659094,4.866959030803002,655479.6462480257,15547.964624802567,81095.92924960513,146643.89387440772,212191.85849921027,277739.82312401285,343287.78774881543,408835.75237361796,474383.71699842054,539931.6816232231
9.2,21.352434308702144,69.44756569129785,134641.56445779157,4.861329598390849,654537.0224723115,15453.702247231151,80907.4044944623,146361.10674169345,211814.8089889246,277268.51123615575,342722.2134833869,408175.91573061806,473629.6179778492,539083.3202250804
9.3,21.33285141285474,69.36714858714527,134603.58145043778,4.855700401100169,653594.66443841,15359.466443840996,80718.932887682,146078.399331523,211437.865775364,276797.332219205,342156.798663046,407516.265106887,472875.731550728,538235.197994569
9.4,21.313265153452377,69.28673484654762,134565.55858995733,4.850071439258333,652652.5724249958,15265.257242499589,80530.51448499918,145795.77172749874,211061.02896999836,276326.2862124979,341591.5434549975,406856.80069749703,472122.0579399967,537387.3151824962
9.5,21.29367552580655,69.20632447419345,134527.49579150658,4.8444427131935415,651710.7467113389,15171.074671133887,80342.14934226777,145513.22401340166,210684.29868453555,275855.37335566944,341026.4480268033,406197.5226979372,471368.5973690711,536539.672040205
