distribution,param_skew_a,param_skew_loc,param_skew_scale,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"SkewNormal(a=-6.4,loc=48.0,scale=7.0)",-6.444444444444445,48.0,7.0,42.65041701174852,4.438611423475453,49.0,13.226635008326916,37.77336499167308,0.892,221380.72867156653
"SkewNormal(a=-6.4,loc=52.0,scale=7.0)",-6.444444444444445,52.0,7.0,46.625168550256944,4.158071694551361,52.5,12.470377477869413,35.02962252213058,0.88,193174.93593828083
"SkewNormal(a=-6.4,loc=56.0,scale=7.0)",-6.444444444444445,56.0,7.0,50.52242655477906,4.470000088768949,56.6,11.572514735641453,31.82748526435855,0.8832,165867.14504274342
"SkewNormal(a=-6.4,loc=60.0,scale=7.0)",-6.444444444444445,60.0,7.0,54.82427725231073,4.125951447255585,59.9,10.83947082785515,29.26052917214485,0.8608,138833.61522514292
"SkewNormal(a=-6.4,loc=64.0,scale=7.0)",-6.444444444444445,64.0,7.0,58.66360463907562,4.398946161387437,64.1,9.891451404971123,26.008548595028884,0.8632,112630.83694530098
"SkewNormal(a=-6.4,loc=68.0,scale=7.0)",-6.444444444444445,68.0,7.0,62.653940710721706,4.234628215078348,68.1,8.970739967599235,22.929260032400776,0.872,89480.7143603182
"SkewNormal(a=-5.3,loc=32.0,scale=7.0)",-5.333333333333333,32.0,7.0,26.614757775895725,4.122318032335059,33.2,16.543484546962212,50.25651545303778,0.896,341310.8474188853
"SkewNormal(a=-5.3,loc=36.0,scale=7.0)",-5.333333333333333,36.0,7.0,30.24865752638346,4.543258224946231,37.2,15.717166884488593,47.082833115511406,0.8888,307529.2128309288
"SkewNormal(a=-5.3,loc=40.0,scale=7.0)",-5.333333333333333,40.0,7.0,34.48539914490487,4.4449292056213405,41.4,14.840292272068377,43.75970772793162,0.8928,277404.62162495434
"SkewNormal(a=-5.3,loc=44.0,scale=7.0)",-5.333333333333333,44.0,7.0,38.47697263081101,4.354463294204027,44.2,14.250034411188636,41.54996558881136,0.8688,248356.3700724595
"SkewNormal(a=-5.3,loc=48.0,scale=7.0)",-5.333333333333333,48.0,7.0,42.6686662585868,4.346152638933313,49.2,13.183657564840502,37.616342435159495,0.8872,218492.04049546266
